Year,Area harvested,Production,Yield
2014,39138,54758,1.3991
2007,47000,32000,0.6809
2012,26,52,2.0004
1997,15861,9153,0.5771
1966,684997,291827,0.426
2003,36,28,0.7778
2009,13000,9000,0.6923
1971,1800,800,0.4444
2000,46297,30518,0.6592
1977,16805,17693,1.0528
1987,2153300,583100,0.2708
2006,4200,2600,0.619
1980,7000,3000,0.4286
1980,2000,400,0.2
2016,40320,36921,0.9157
2004,62544,29028,0.4641
1975,6542,3947,0.6033
2008,23,38,1.6478
1978,46256,29900,0.6464
1989,79032,45983,0.5818
1961,6000,2054,0.3423
1969,36000,15500,0.4306
1981,22420,6013,0.2682
1986,3300,1800,0.5455
1995,5802,1537,0.2649
1995,642666,583343,0.9077
1999,143700,69000,0.4802
1995,11886,7762,0.653
2011,46114,31896,0.6917
2000,50900,23800,0.4676
1994,690000,548000,0.7942
2015,23,46,2.0245
2015,4757,2552,0.5364
1990,83088,48610,0.585
1979,7000,2000,0.2857
2007,31321,17506,0.5589
1967,2000,400,0.2
2017,20,16,0.7942
2016,1833,2639,1.4397
1990,28000,18000,0.6429
1984,14500,4300,0.2966
2003,30234,36961,1.2225
1994,13720,9265,0.6753
1967,49000,13000,0.2653
1978,130,80,0.6154
1987,74000,33000,0.4459
2001,33133,19377,0.5848
1989,542,330,0.6089
1985,27450,15622,0.5691
1963,6000,1800,0.3
1984,48000,27000,0.5625
1983,39200,13000,0.3316
1981,2700,1572,0.5822
1994,3500,2000,0.5714
1982,240,120,0.5
1982,1940,896,0.4619
1962,9000,5086,0.5651
2000,36800,16800,0.4565
1972,35000,8015,0.22899999999999998
1979,7000,2500,0.3571
1963,4000,2000,0.5
2015,90712,38616,0.4257
1985,3300,2900,0.8788
1976,113488,39720,0.35
1998,1609000,527300,0.3277
1966,2793400,416000,0.1489
1967,11800,9300,0.7881
1963,185000,53000,0.2865
2010,15068,4070,0.2701
1999,6500,1700,0.2615
1968,50,30,0.6
1969,14818,7971,0.5379
1982,157,57,0.3631
2012,49406,26341,0.5331
2017,26542,36224,1.3648
1982,4982,1209,0.2427
2008,10575,2905,0.2747
2003,25052,10000,0.3992
1984,130,80,0.6154
1983,27000,5000,0.1852
2018,25981,17437,0.6711
1997,74628,26109,0.3499
1965,95000,30000,0.3158
1969,40,32,0.8
1986,40,25,0.625
1982,93203,53150,0.5703
1973,10300,4600,0.4466
2009,5000,3000,0.6
1998,248,147,0.594
1999,838,458,0.5465
1986,20980,8187,0.3902
2003,401,206,0.514
2013,250,220,0.8786
1979,45000,26000,0.5778
1963,19000,12300,0.6474
1979,5600,2800,0.5
2002,3,1,0.3333
1966,7000,2800,0.4
2014,16000,32000,2.0
1984,20000,12500,0.625
2006,569720,662571,1.163
1978,9000,4500,0.5
2012,40177,28124,0.7
1998,980,800,0.8163
1992,20000,13000,0.65
1995,19196,2312,0.1205
1963,1900,1550,0.8158
1966,2000,400,0.2
2009,69650,51300,0.7365
2010,10,1,0.1
1992,82487,49463,0.5996
1997,20,50,2.5
2004,29591,37382,1.2633
1984,60,25,0.4167
2014,34248,30447,0.889
1971,150,80,0.5333
1998,30331,17472,0.5760000000000001
2010,77670,31041,0.3997
2011,191500,229167,1.1967
1984,858000,476000,0.5548
1993,83000,29000,0.3494
2007,486580,557537,1.1458
1986,1007000,618000,0.6137
1976,2500,580,0.23199999999999998
1987,33523,12300,0.3669
1965,14000,6000,0.4286
1972,43200,28300,0.6551
1979,13887,4125,0.297
1966,14600,9800,0.6712
1984,103300,31000,0.3001
2003,8810,5490,0.6232
1966,12733,11263,0.8846
1989,97600,37000,0.3791
2002,758475,895228,1.1803
2002,7785,2028,0.2605
1989,7000,2000,0.2857
1962,15000,5000,0.3333
2003,32515,18729,0.5760000000000001
1976,42800,25000,0.5841
1992,2700,2270,0.8407
2011,25,20,0.8005
1998,143000,66000,0.4615
1987,7000,2000,0.2857
1965,12000,8000,0.6667
1969,11647,7255,0.6229
2008,472620,586701,1.2414
2013,482,317,0.6577
2003,55000,34000,0.6182
2005,64838,42144,0.65
1978,55000,15069,0.27399999999999997
1975,38000,10000,0.2632
2011,26646,18000,0.6755
1967,185000,53000,0.2865
2015,605,276,0.4564
2001,50000,23000,0.46
2003,105000,41000,0.3905
1977,3185,1862,0.5846
1984,132760,62909,0.4739
2001,20000,7917,0.3959
1974,10000,10060,1.006
1962,1800,1500,0.8333
2013,24785,15457,0.6236
1976,1436,919,0.64
1977,490,200,0.4082
2013,69620,69343,0.996
1970,2600,800,0.3077
1983,17000,10500,0.6176
1995,29952,17249,0.5759
1972,17643,24000,1.3603
1983,15400,11500,0.7468
1964,535,51,0.0953
1986,623,283,0.4543
2008,2,1,0.5
1977,7000,3000,0.4286
1990,1879,1250,0.6652
2005,1936,450,0.2324
1990,3743,1574,0.4205
2007,51356,35776,0.6966
1983,37,26,0.7027
2001,24000,15000,0.625
1971,10086,4258,0.4222
1989,3531,3708,1.0501
1963,26710,8130,0.3044
1988,14500,4200,0.2897
2002,18000,22000,1.2222
2012,29324,17634,0.6014
1974,2500,590,0.23600000000000002
2003,35855,25158,0.7017
2007,33,22,0.6667
2013,81630,32423,0.3972
1961,1300,700,0.5385
2015,78535,31800,0.4049
1963,17087,7360,0.4307
1976,4213,2851,0.6767
2002,48000,22000,0.4583
1977,8000,4500,0.5625
1991,22675,13050,0.5755
1982,28200,10540,0.3738
2004,165000,78000,0.4727
1968,41150,11186,0.2718
2017,1729,3258,1.8843
1974,1335,876,0.6562
1977,2384300,520200,0.2182
2018,39000,38000,0.9744
2001,43541,31043,0.713
1966,2200,800,0.3636
1985,167,121,0.7246
1970,1793,804,0.4484
1999,71671,35400,0.4939
1992,6326,1657,0.2619
1966,934,700,0.7495
1966,4832,1974,0.4085
1973,10280,3655,0.3555
1966,13000,8000,0.6154
2005,42440,26000,0.6126
1997,29493,16434,0.5572
1974,2950,3835,1.3
1991,72104,37000,0.5131
2006,6000,5000,0.8333
2018,10217,4490,0.4395
1988,18437,7873,0.42700000000000005
1977,1464,642,0.4385
1962,3815,1700,0.4456
2007,33525,27038,0.8065
1997,1660000,568100,0.3422
2009,969,948,0.9783
1978,8400,2300,0.2738
1961,35166,22000,0.6256
1976,197959,84777,0.4283
1975,2000,400,0.2
2010,51196,26393,0.5155
1970,557953,264784,0.4746
2017,750000,809885,1.0798
1968,268,91,0.3396
1990,21557,21034,0.9757
1984,7700,1900,0.2468
1986,29350,17854,0.6083
2004,3600,2200,0.6111
1989,100,55,0.55
2002,105,94,0.8952
1989,64896,39728,0.6122
1991,601,290,0.4821
1967,12929,7275,0.5627
1994,28,50,1.774
2003,2167,1691,0.7803
1987,35881,9913,0.2763
1989,572,311,0.5437
1996,11095,7527,0.6784
1998,5000,1400,0.28
1989,21943,8136,0.3708
1985,7700,1900,0.2468
1970,26560,20200,0.7605
1994,13000,3800,0.2923
1964,8000,3300,0.4125
2016,279017,153611,0.5505
1980,20000,8000,0.4
2011,438225,605770,1.3823
1961,27000,4500,0.1667
1992,82159,33995,0.4138
1966,478727,57780,0.1207
1984,260,130,0.5
1968,6000,3000,0.5
2015,16000,12000,0.75
1962,5000,1000,0.2
1990,23000,13900,0.6043
1963,2970,1400,0.4714
1963,15000,5000,0.3333
2010,125471,90649,0.7225
2016,10289,4553,0.4426
1982,12300,7200,0.5854
2009,476909,622905,1.3061
2011,1225,770,0.6286
1996,13509,3875,0.2868
1963,2000,440,0.22
1995,84000,31000,0.369
2018,1463447,768858,0.5254
2009,43206,34536,0.7993
2015,12000,10000,0.8333
2017,21428,22543,1.052
1995,36000,24000,0.6667
2003,167000,80000,0.479
1973,36000,22800,0.6333
1991,33,50,1.5152
1995,36960,19223,0.5201
1993,18590,3000,0.1614
1971,1106,210,0.1899
1992,18719,3000,0.1603
2009,153270,90000,0.5872
1976,28000,20600,0.7357
1997,172000,73000,0.4244
2008,4998,1450,0.2901
1998,61920,36100,0.583
1964,12000,5000,0.4167
1974,46000,29000,0.6304
2002,166000,73000,0.4398
1986,50896,31800,0.6248
2018,12679,3237,0.2553
1975,4000,2000,0.5
2008,45000,23000,0.5111
1991,9510,5400,0.5678
2015,40000,28000,0.7
2005,928,451,0.486
2012,2600,500,0.1923
1988,11000,4000,0.3636
1994,19881,8821,0.4437
2013,3313,2740,0.8270000000000001
1984,15005,6330,0.4219
1965,5000,1000,0.2
1962,137,64,0.4672
1973,34880,23400,0.6709
1980,13990,11750,0.8399
1968,53000,31500,0.5943
1971,7700,6745,0.8759999999999999
1993,42368,19600,0.4626
2000,36800,22000,0.5978
2001,140,133,0.9536
1969,43000,11712,0.2724
2012,69875,117000,1.6744
2004,38900,37200,0.9563
2018,22518,9372,0.4162
2013,859951,1050000,1.2209999999999999
2014,56266,25662,0.4561
1983,2203600,558800,0.2536
1995,666,343,0.515
1997,48823,33393,0.684
1964,8600,5800,0.6744
1974,25000,8000,0.32
2013,25104,32847,1.3084
1970,17800,6310,0.3545
1990,17640,22000,1.2472
1977,54838,29958,0.5463
1967,25,19,0.76
2018,6370,4146,0.6509
2012,5800,3000,0.5172
1991,1390,1252,0.9007
1967,60000,40000,0.6667
1964,2620,1550,0.5916
1979,63594,21267,0.3344
1971,760,450,0.5921
1970,150,80,0.5333
2000,785433,811819,1.0336
